arm,regime,n_days,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar
tilt_net_issuance,CALM,3039.0,1.4364701378758475,0.07664123390675681,0.18068031935796255,0.49956566285867465,0.6074470906562137,-0.3517937756100483,0.21785841370801018
tilt_net_issuance,CRISIS,254.0,0.1887009314266479,0.18708407849908992,0.2261935725239397,0.8713852539691659,1.2736558075821165,-0.19656243986605093,0.951779386878693
tilt_net_issuance,TURBULENT,209.0,0.4987208682775581,0.6288227568689555,0.19044058265064454,2.658345170970252,4.183777922840198,-0.08243524875628871,7.62808102548468
tilt_net_issuance_constant,CALM,3039.0,1.6636074386992021,0.08462808915731657,0.18485840791406305,0.5325003412603015,0.6462547933702871,-0.3688697160831953,0.2294254189688737
tilt_net_issuance_constant,CRISIS,254.0,0.2178389107514631,0.21595054057024154,0.26439514831918476,0.8717664145741224,1.2960966093183603,-0.19117244158735403,1.1296112492844084
tilt_net_issuance_constant,TURBULENT,209.0,0.6256084888231079,0.7965144926227661,0.19491227973094952,3.1056237080008278,4.726301586416607,-0.07190951082817165,11.076622319487665
tilt_oracle,CALM,3039.0,1.5545660184356143,0.08087521095930428,0.1721881612248421,0.5381540159357939,0.6642833361069169,-0.35572782368069844,0.22735137814774345
tilt_oracle,CRISIS,254.0,0.15601196059945188,0.15469307474682092,0.1933413438821175,0.8406584956866113,1.2018899929545617,-0.1561389187005593,0.9907400155850241
tilt_oracle,TURBULENT,209.0,0.37186796168036507,0.46407448680731744,0.16010245395867134,2.462151981594276,3.8918760814739684,-0.06913640377214914,6.712447588925141
tilt_shuffled,CALM,3039.0,1.6271697318085918,0.08338994527089194,0.17466288680397501,0.5463369118194942,0.67002089160173,-0.3212712420220245,0.25956243312053184
tilt_shuffled,CRISIS,254.0,0.17921192423181997,0.17768229680732284,0.24159611917471635,0.7977879992589327,1.1675489757007491,-0.1867900025864322,0.9512409355265413
tilt_shuffled,TURBULENT,209.0,0.5094678455375214,0.6429160763604482,0.18079972436492245,2.8380658068573466,4.4376836699492745,-0.07373494907967182,8.719285554340953
tilt_size,CALM,3039.0,1.52914954196258,0.07997936554532536,0.17943826799989637,0.5190386833692342,0.6366689932385972,-0.3471673930432524,0.230376951142301
tilt_size,CRISIS,254.0,0.2173032689612331,0.21541993953451444,0.23599506857137606,0.944753962769688,1.431834597611234,-0.18048482377490882,1.19356262221346
tilt_size,TURBULENT,209.0,0.4791388986302112,0.603196950222396,0.18771065989417093,2.6097459209191487,4.039212416906323,-0.07994931039814002,7.544742377620671
tilt_size_constant,CALM,3039.0,2.023125999401767,0.09607532171889166,0.18128331429136732,0.5971722821395155,0.7385484801262631,-0.324902363529059,0.295705210252491
tilt_size_constant,CRISIS,254.0,0.2740691183799888,0.27164151533662406,0.25811351423727313,1.0601831456142958,1.6160559005475055,-0.19027460420125053,1.4276288550274054
tilt_size_constant,TURBULENT,209.0,0.6411363893037678,0.817225786301657,0.19402259026912855,3.1781015201325173,5.0468925991933355,-0.07185675732294594,11.372984486744897
warmstart_hmm,CALM,3039.0,0.3740662875828351,0.02670074017238222,0.1851099344141942,0.23544615946486455,0.29095777311467164,-0.418924123781528,0.06373645883975604
warmstart_hmm,CRISIS,254.0,0.31973253994573736,0.31685275576812066,0.21478673947001892,1.3892763549205809,1.9994411182627787,-0.1582416839879759,2.002334326726433
warmstart_hmm,TURBULENT,209.0,0.45169025575937893,0.5673939782397657,0.18795327969288939,2.4863428557919867,3.8466098323979545,-0.09453348104312864,6.002042577707529
warmstart_support,CALM,3039.0,0.441418119382899,0.03078285108228096,0.18367572983089328,0.25745518582080257,0.31611531863319997,-0.39820208545384816,0.0773045953468486
warmstart_support,CRISIS,254.0,0.3468564497448301,0.34370221264918,0.20962099186863364,1.514620996046854,2.206092633735706,-0.1761399371921034,1.9513020052591947
warmstart_support,TURBULENT,209.0,0.46211267568893977,0.5809723302038494,0.18866722868648547,2.523425842012856,3.93528677458386,-0.07917202546837243,7.3381011382099315
